game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,2,08:01,LAL,37.0,MIN,27.0,D. Knecht,LAL,Knecht 26' 3PT Jump Shot (3 PTS) (Russell 3 AST),Made Shot,Jump Shot,-165,202,26,1,3.0,3.0,h
S2425-G0062,2,07:00,LAL,41.0,MIN,29.0,D. Knecht,LAL,Knecht Running Layup (5 PTS),Made Shot,Running Layup Shot,-1,0,0,1,2.0,2.0,h
S2425-G0062,2,05:20,LAL,,MIN,,D. Knecht,LAL,Knecht REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,04:49,LAL,,MIN,,D. Knecht,LAL,MISS Knecht 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,134,218,26,1,3.0,0.0,h
S2425-G0062,2,04:16,LAL,,MIN,,D. Knecht,LAL,Knecht P.FOUL (P1.T2) (J.Williams),Foul,Personal,0,0,0,0,,,h
S2425-G0062,2,01:19,LAL,,MIN,,D. Knecht,LAL,SUB: Christie FOR Knecht,Substitution,,0,0,0,0,,,h
S2425-G0062,3,02:32,LAL,,MIN,,D. Knecht,LAL,MISS Knecht 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-105,236,26,1,3.0,0.0,h
S2425-G0062,3,00:24.900000,LAL,,MIN,,D. Knecht,LAL,Knecht STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0062,3,00:21.900000,LAL,,MIN,,D. Knecht,LAL,Knecht Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0062,4,10:31,LAL,,MIN,,D. Knecht,LAL,SUB: Reaves FOR Knecht,Substitution,,0,0,0,0,,,h
S2425-G0111,2,11:17,PHX,,LAL,,D. Knecht,LAL,Knecht REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,2,11:11,PHX,,LAL,,D. Knecht,LAL,MISS Knecht 12' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-80,86,12,1,2.0,0.0,v
S2425-G0111,2,08:12,PHX,,LAL,,D. Knecht,LAL,MISS Knecht 5' Running Layup,Missed Shot,Running Layup Shot,31,36,5,1,2.0,0.0,v
S2425-G0111,2,04:24,PHX,,LAL,,D. Knecht,LAL,SUB: L. James FOR Knecht,Substitution,,0,0,0,0,,,v
S2425-G0111,4,09:46,PHX,,LAL,,D. Knecht,LAL,MISS Knecht 26' 3PT Jump Shot,Missed Shot,Jump Shot,-195,173,26,1,3.0,0.0,v
S2425-G0111,4,08:22,PHX,,LAL,,D. Knecht,LAL,SUB: Hachimura FOR Knecht,Substitution,,0,0,0,0,,,v
S2425-G0096,2,11:09,LAL,33.0,SAC,26.0,D. Knecht,LAL,Knecht 29' 3PT Jump Shot (3 PTS) (L. James 1 AST),Made Shot,Jump Shot,96,269,29,1,3.0,3.0,h
S2425-G0096,2,07:35,LAL,,SAC,,D. Knecht,LAL,MISS Knecht 25' 3PT Jump Shot,Missed Shot,Jump Shot,-213,132,25,1,3.0,0.0,h
S2425-G0096,2,07:31,LAL,,SAC,,D. Knecht,LAL,Knecht S.FOUL (P1.T3) (K.Scott),Foul,Shooting,0,0,0,0,,,h
S2425-G0096,2,06:55,LAL,46.0,SAC,33.0,D. Knecht,LAL,Knecht 6' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,-2,61,6,1,2.0,2.0,h
