game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,08:27,TOR,,PHI,,G. Yabusele,PHI,MISS Yabusele 27' 3PT Jump Shot,Missed Shot,Jump Shot,200,178,27,1,3.0,0.0,v
S2425-G0078,1,07:41,TOR,,PHI,,G. Yabusele,PHI,Yabusele BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0078,1,07:36,TOR,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,1,06:14,TOR,,PHI,,G. Yabusele,PHI,Yabusele P.FOUL (P1.PN) (T.Brothers),Foul,Personal,0,0,0,0,,,v
S2425-G0078,1,05:33,TOR,,PHI,,G. Yabusele,PHI,MISS Yabusele 1' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,-10,-1,1,1,2.0,0.0,v
S2425-G0078,1,05:08,TOR,,PHI,,G. Yabusele,PHI,Yabusele S.FOUL (P2.PN) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,1,04:49,TOR,21.0,PHI,17.0,G. Yabusele,PHI,Yabusele 1' Cutting Dunk Shot (2 PTS) (Maxey 2 AST),Made Shot,Cutting Dunk Shot,-1,8,1,1,2.0,2.0,v
S2425-G0078,1,04:22,TOR,,PHI,,G. Yabusele,PHI,SUB: Oubre Jr. FOR Yabusele,Substitution,,0,0,0,0,,,v
S2425-G0078,2,06:40,TOR,,PHI,,G. Yabusele,PHI,Yabusele Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0078,2,05:30,TOR,50.0,PHI,45.0,G. Yabusele,PHI,Yabusele 2' Cutting Layup Shot (4 PTS) (Gordon 1 AST),Made Shot,Cutting Layup Shot,-18,8,2,1,2.0,2.0,v
S2425-G0078,2,05:22,TOR,,PHI,,G. Yabusele,PHI,Yabusele S.FOUL (P3.PN) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,2,05:22,TOR,,PHI,,G. Yabusele,PHI,SUB: Drummond FOR Yabusele,Substitution,,0,0,0,0,,,v
S2425-G0078,3,04:50,TOR,,PHI,,G. Yabusele,PHI,Yabusele Out of Bounds - Bad Pass Turnover Turnover (P2.T13),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0078,3,03:25,TOR,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,3,03:02,TOR,,PHI,,G. Yabusele,PHI,Yabusele P.FOUL (P4.PN) (T.Mirkovich),Foul,Personal,0,0,0,0,,,v
S2425-G0078,3,02:49,TOR,78.0,PHI,73.0,G. Yabusele,PHI,Yabusele 1' Layup (6 PTS) (Gordon 2 AST),Made Shot,Layup Shot,1,7,1,1,2.0,2.0,v
S2425-G0078,3,02:49,TOR,78.0,PHI,74.0,G. Yabusele,PHI,Yabusele Free Throw 1 of 1 (7 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0078,3,02:17,TOR,78.0,PHI,75.0,G. Yabusele,PHI,Yabusele Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,3,02:17,TOR,78.0,PHI,76.0,G. Yabusele,PHI,Yabusele Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0078,3,01:27,TOR,,PHI,,G. Yabusele,PHI,Yabusele Bad Pass Turnover (P3.T14),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0078,3,00:37.300000,TOR,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,4,05:38,TOR,,PHI,,G. Yabusele,PHI,MISS Yabusele 3PT Jump Shot,Missed Shot,Jump Shot,230,-4,0,1,3.0,0.0,v
S2425-G0078,4,01:51,TOR,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,4,01:12,TOR,,PHI,,G. Yabusele,PHI,SUB: K. Martin FOR Yabusele,Substitution,,0,0,0,0,,,v
S2425-G0097,1,04:59,IND,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,1,04:26,IND,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,1,02:28,IND,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,1,01:49,IND,,PHI,,G. Yabusele,PHI,MISS Yabusele 4' Layup,Missed Shot,Layup Shot,9,38,4,1,2.0,0.0,v
S2425-G0097,1,00:07,IND,,PHI,,G. Yabusele,PHI,SUB: Oubre Jr. FOR Yabusele,Substitution,,0,0,0,0,,,v
S2425-G0097,2,10:07,IND,,PHI,,G. Yabusele,PHI,Yabusele STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0097,2,08:57,IND,,PHI,,G. Yabusele,PHI,MISS Yabusele 8' Floating Jump Shot,Missed Shot,Floating Jump shot,-6,75,8,1,2.0,0.0,v
S2425-G0097,2,08:49,IND,,PHI,,G. Yabusele,PHI,Yabusele S.FOUL (P1.T4) (T.Maddox),Foul,Shooting,0,0,0,0,,,v
S2425-G0097,2,08:49,IND,,PHI,,G. Yabusele,PHI,SUB: Drummond FOR Yabusele,Substitution,,0,0,0,0,,,v
S2425-G0097,2,01:18,IND,,PHI,,G. Yabusele,PHI,MISS Yabusele 25' 3PT Jump Shot,Missed Shot,Jump Shot,227,103,25,1,3.0,0.0,v
S2425-G0097,2,00:25.500000,IND,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,3,02:01,IND,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,3,01:51,IND,,PHI,,G. Yabusele,PHI,MISS Yabusele 27' 3PT Jump Shot,Missed Shot,Jump Shot,-228,147,27,1,3.0,0.0,v
S2425-G0097,4,08:04,IND,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:5 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0097,4,07:19,IND,,PHI,,G. Yabusele,PHI,Yabusele OFF.Foul (P2) (M.Ervin),Foul,Offensive,0,0,0,0,,,v
S2425-G0097,4,07:19,IND,,PHI,,G. Yabusele,PHI,Yabusele Offensive Foul Turnover (P1.T18),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0097,4,07:19,IND,,PHI,,G. Yabusele,PHI,SUB: Drummond FOR Yabusele,Substitution,,0,0,0,0,,,v
S2425-G0120,1,02:56,PHI,,DET,,G. Yabusele,PHI,MISS Yabusele 3PT Jump Shot,Missed Shot,Jump Shot,-221,64,0,1,3.0,0.0,h
S2425-G0120,1,02:25,PHI,23.0,DET,17.0,G. Yabusele,PHI,Yabusele 25' 3PT Jump Shot (3 PTS) (Gordon 1 AST),Made Shot,Jump Shot,-142,204,25,1,3.0,3.0,h
S2425-G0120,1,01:42,PHI,25.0,DET,20.0,G. Yabusele,PHI,Yabusele 3' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,25,8,3,1,2.0,2.0,h
S2425-G0120,1,00:45.300000,PHI,,DET,,G. Yabusele,PHI,Yabusele REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0120,2,10:48,PHI,,DET,,G. Yabusele,PHI,Yabusele Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0120,2,09:26,PHI,,DET,,G. Yabusele,PHI,SUB: C. Martin FOR Yabusele,Substitution,,0,0,0,0,,,h
S2425-G0120,3,04:03,PHI,,DET,,G. Yabusele,PHI,Yabusele Bad Pass Turnover (P2.T9),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0120,3,02:01,PHI,,DET,,G. Yabusele,PHI,Yabusele BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0120,3,01:58,PHI,,DET,,G. Yabusele,PHI,Yabusele REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0120,3,01:37,PHI,,DET,,G. Yabusele,PHI,Yabusele S.FOUL (P1.PN) (J.Williams),Foul,Shooting,0,0,0,0,,,h
S2425-G0120,3,00:10.100000,PHI,,DET,,G. Yabusele,PHI,Yabusele L.B.FOUL (P2.PN) (J.Conley),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0120,4,10:34,PHI,71.0,DET,87.0,G. Yabusele,PHI,Yabusele 27' 3PT Jump Shot (8 PTS) (McCain 3 AST),Made Shot,Jump Shot,-108,242,27,1,3.0,3.0,h
S2425-G0120,4,10:18,PHI,,DET,,G. Yabusele,PHI,Yabusele P.FOUL (P3.T1) (J.Van Duyne),Foul,Personal,0,0,0,0,,,h
S2425-G0120,4,09:02,PHI,,DET,,G. Yabusele,PHI,Yabusele STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0120,4,08:12,PHI,,DET,,G. Yabusele,PHI,Yabusele STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0120,4,06:30,PHI,,DET,,G. Yabusele,PHI,SUB: Drummond FOR Yabusele,Substitution,,0,0,0,0,,,h
S2425-G0120,4,01:51,PHI,,DET,,G. Yabusele,PHI,Yabusele Personal Take Foul (P4.T2) (J.Van Duyne),Foul,Personal Take,0,0,0,0,,,h
S2425-G0066,1,04:13,PHI,15.0,MIL,12.0,G. Yabusele,PHI,Yabusele 3PT Jump Shot (3 PTS) (C. Martin 2 AST),Made Shot,Jump Shot,228,47,0,1,3.0,3.0,h
S2425-G0066,1,02:41,PHI,,MIL,,G. Yabusele,PHI,Yabusele REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
